# PARTICIPANT INFO
id,age,gender,handedness,startTime,endTime,finalCoins_exp1
999,19,male,right,8521,198515.00000000003,16

# EXPERIMENT 1 TRIALS
trial_index,stimulus,imagePath,start_time,choice,rt,outcome,coins_before,coins_after
1,zaff1,./stimuli/exp1/hh4.png,15868,approach,1226,1,4,5
2,nonzaff4,./stimuli/exp1/ss4.png,19040,avoid,1295,0,5,5
3,zaff2,./stimuli/exp1/sh4.png,21943,approach,1299,1,5,6
4,zaff3,./stimuli/exp1/hs1.png,24747,approach,1986,1,6,7
5,nonzaff4,./stimuli/exp1/ss2.png,28184,avoid,3036.0000000000036,0,7,7
6,zaff1,./stimuli/exp1/hh2.png,32878,approach,2436,1,7,8
7,zaff3,./stimuli/exp1/hs3.png,36778,approach,6184,1,8,9
8,zaff2,./stimuli/exp1/sh3.png,44268,approach,1794,1,9,10
9,zaff2,./stimuli/exp1/sh1.png,47666.00000000001,approach,1595.9999999999927,1,10,11
10,zaff3,./stimuli/exp1/hs2.png,50354,approach,1714,1,11,12
11,nonzaff4,./stimuli/exp1/ss1.png,53429,avoid,2438.0000000000073,0,12,12
12,zaff1,./stimuli/exp1/hh1.png,57280,approach,1271,1,12,13
13,zaff3,./stimuli/exp1/hs4.png,59895,approach,5121.999999999993,1,13,14
14,zaff2,./stimuli/exp1/sh2.png,66320.00000000001,approach,3730.9999999999854,1,14,15
15,zaff1,./stimuli/exp1/hh3.png,71496,approach,1163,1,15,16
16,nonzaff4,./stimuli/exp1/ss3.png,73714,avoid,3578,0,16,16

# EXPERIMENT 2 RANKING
rank,itemId,text
1,item-3,在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。
2,item-5,在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。
3,item-6,让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）
4,item-2,在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶
5,item-7,在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变
6,item-9,强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。
7,item-10,让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）
8,item-1,让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）
9,item-4,将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。
10,item-8,在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。

# EVENT LOG
event,timestamp,page,details
Script Loaded,86,N/A,
Exp1 Trial List Generated,86,page-demographics,"{""count"":16}"
Page shown,86,page-demographics,"{""pageId"":""page-demographics""}"
Experiment Start,8521,page-demographics,{}
Page shown,8521,page-consent,"{""pageId"":""page-consent""}"
Page shown,10364,page-exp1-instructions,"{""pageId"":""page-exp1-instructions""}"
Page shown,11452,page-exp1-check,"{""pageId"":""page-exp1-check""}"
Exp1 Comprehension Check Passed,15866,page-exp1-check,{}
Page shown,15866,page-exp1-formal,"{""pageId"":""page-exp1-formal""}"
Stimulus Presented,15868,page-exp1-formal,"{""trial"":1,""stimulus"":""zaff1"",""image"":""./stimuli/exp1/hh4.png""}"
Decision Made,17094,page-exp1-formal,"{""trial_index"":1,""stimulus"":""zaff1"",""imagePath"":""./stimuli/exp1/hh4.png"",""start_time"":15868,""choice"":""approach"",""rt"":1226,""outcome"":1,""coins_before"":4,""coins_after"":5}"
Stimulus Presented,19040,page-exp1-formal,"{""trial"":2,""stimulus"":""nonzaff4"",""image"":""./stimuli/exp1/ss4.png""}"
Decision Made,20335,page-exp1-formal,"{""trial_index"":2,""stimulus"":""nonzaff4"",""imagePath"":""./stimuli/exp1/ss4.png"",""start_time"":19040,""choice"":""avoid"",""rt"":1295,""outcome"":0,""coins_before"":5,""coins_after"":5}"
Stimulus Presented,21943,page-exp1-formal,"{""trial"":3,""stimulus"":""zaff2"",""image"":""./stimuli/exp1/sh4.png""}"
Decision Made,23242,page-exp1-formal,"{""trial_index"":3,""stimulus"":""zaff2"",""imagePath"":""./stimuli/exp1/sh4.png"",""start_time"":21943,""choice"":""approach"",""rt"":1299,""outcome"":1,""coins_before"":5,""coins_after"":6}"
Stimulus Presented,24747,page-exp1-formal,"{""trial"":4,""stimulus"":""zaff3"",""image"":""./stimuli/exp1/hs1.png""}"
Decision Made,26733,page-exp1-formal,"{""trial_index"":4,""stimulus"":""zaff3"",""imagePath"":""./stimuli/exp1/hs1.png"",""start_time"":24747,""choice"":""approach"",""rt"":1986,""outcome"":1,""coins_before"":6,""coins_after"":7}"
Stimulus Presented,28184,page-exp1-formal,"{""trial"":5,""stimulus"":""nonzaff4"",""image"":""./stimuli/exp1/ss2.png""}"
Decision Made,31220.000000000004,page-exp1-formal,"{""trial_index"":5,""stimulus"":""nonzaff4"",""imagePath"":""./stimuli/exp1/ss2.png"",""start_time"":28184,""choice"":""avoid"",""rt"":3036.0000000000036,""outcome"":0,""coins_before"":7,""coins_after"":7}"
Stimulus Presented,32878,page-exp1-formal,"{""trial"":6,""stimulus"":""zaff1"",""image"":""./stimuli/exp1/hh2.png""}"
Decision Made,35314,page-exp1-formal,"{""trial_index"":6,""stimulus"":""zaff1"",""imagePath"":""./stimuli/exp1/hh2.png"",""start_time"":32878,""choice"":""approach"",""rt"":2436,""outcome"":1,""coins_before"":7,""coins_after"":8}"
Stimulus Presented,36778,page-exp1-formal,"{""trial"":7,""stimulus"":""zaff3"",""image"":""./stimuli/exp1/hs3.png""}"
Decision Made,42962,page-exp1-formal,"{""trial_index"":7,""stimulus"":""zaff3"",""imagePath"":""./stimuli/exp1/hs3.png"",""start_time"":36778,""choice"":""approach"",""rt"":6184,""outcome"":1,""coins_before"":8,""coins_after"":9}"
Stimulus Presented,44268,page-exp1-formal,"{""trial"":8,""stimulus"":""zaff2"",""image"":""./stimuli/exp1/sh3.png""}"
Decision Made,46062,page-exp1-formal,"{""trial_index"":8,""stimulus"":""zaff2"",""imagePath"":""./stimuli/exp1/sh3.png"",""start_time"":44268,""choice"":""approach"",""rt"":1794,""outcome"":1,""coins_before"":9,""coins_after"":10}"
Stimulus Presented,47666.00000000001,page-exp1-formal,"{""trial"":9,""stimulus"":""zaff2"",""image"":""./stimuli/exp1/sh1.png""}"
Decision Made,49262,page-exp1-formal,"{""trial_index"":9,""stimulus"":""zaff2"",""imagePath"":""./stimuli/exp1/sh1.png"",""start_time"":47666.00000000001,""choice"":""approach"",""rt"":1595.9999999999927,""outcome"":1,""coins_before"":10,""coins_after"":11}"
Stimulus Presented,50354,page-exp1-formal,"{""trial"":10,""stimulus"":""zaff3"",""image"":""./stimuli/exp1/hs2.png""}"
Decision Made,52068,page-exp1-formal,"{""trial_index"":10,""stimulus"":""zaff3"",""imagePath"":""./stimuli/exp1/hs2.png"",""start_time"":50354,""choice"":""approach"",""rt"":1714,""outcome"":1,""coins_before"":11,""coins_after"":12}"
Stimulus Presented,53429,page-exp1-formal,"{""trial"":11,""stimulus"":""nonzaff4"",""image"":""./stimuli/exp1/ss1.png""}"
Decision Made,55867.00000000001,page-exp1-formal,"{""trial_index"":11,""stimulus"":""nonzaff4"",""imagePath"":""./stimuli/exp1/ss1.png"",""start_time"":53429,""choice"":""avoid"",""rt"":2438.0000000000073,""outcome"":0,""coins_before"":12,""coins_after"":12}"
Stimulus Presented,57280,page-exp1-formal,"{""trial"":12,""stimulus"":""zaff1"",""image"":""./stimuli/exp1/hh1.png""}"
Decision Made,58551,page-exp1-formal,"{""trial_index"":12,""stimulus"":""zaff1"",""imagePath"":""./stimuli/exp1/hh1.png"",""start_time"":57280,""choice"":""approach"",""rt"":1271,""outcome"":1,""coins_before"":12,""coins_after"":13}"
Stimulus Presented,59895,page-exp1-formal,"{""trial"":13,""stimulus"":""zaff3"",""image"":""./stimuli/exp1/hs4.png""}"
Decision Made,65016.99999999999,page-exp1-formal,"{""trial_index"":13,""stimulus"":""zaff3"",""imagePath"":""./stimuli/exp1/hs4.png"",""start_time"":59895,""choice"":""approach"",""rt"":5121.999999999993,""outcome"":1,""coins_before"":13,""coins_after"":14}"
Stimulus Presented,66320.00000000001,page-exp1-formal,"{""trial"":14,""stimulus"":""zaff2"",""image"":""./stimuli/exp1/sh2.png""}"
